"COL0","COL1","COL2","COL3","COL4","COL5","COL6"
"5350528.16","535","Toronto","0528.16",1580.00,1230.00,123000.00
"5350528.18","535","Toronto","0528.18",2150.00,1630.00,127000.00
"5350528.19","535","Toronto","0528.19",1755.00,1295.00,111000.00
"5350528.20","535","Toronto","0528.20",1935.00,1440.00,105000.00
"5350528.21","535","Toronto","0528.21",1480.00,850.00,77500.00
"5350528.22","535","Toronto","0528.22",2355.00,1595.00,96000.00
"5350528.24","535","Toronto","0528.24",1430.00,1095.00,117000.00
"5350528.26","535","Toronto","0528.26",1845.00,1340.00,77000.00
"5350528.31","535","Toronto","0528.31",2225.00,1475.00,77000.00
"5350528.32","535","Toronto","0528.32",1475.00,1130.00,147000.00
"5350528.33","535","Toronto","0528.33",1865.00,1515.00,137000.00
"5350528.34","535","Toronto","0528.34",2020.00,1565.00,119000.00
"5350528.35","535","Toronto","0528.35",1075.00,865.00,130000.00
"5350528.39","535","Toronto","0528.39",2060.00,1690.00,151000.00
"5350528.40","535","Toronto","0528.40",1960.00,1655.00,150000.00
"5350528.42","535","Toronto","0528.42",1625.00,1245.00,129000.00
"5350528.43","535","Toronto","0528.43",1415.00,1070.00,116000.00
"5350528.44","535","Toronto","0528.44",660.00,515.00,116000.00
"5350528.45","535","Toronto","0528.45",1640.00,1185.00,97000.00
"5350528.46","535","Toronto","0528.46",2275.00,1705.00,126000.00
"5350528.47","535","Toronto","0528.47",1540.00,1205.00,124000.00
"5350528.49","535","Toronto","0528.49",1500.00,1175.00,157000.00
"5350528.50","535","Toronto","0528.50",1545.00,1040.00,105000.00
"5350528.51","535","Toronto","0528.51",1825.00,1135.00,99000.00
"5350528.52","535","Toronto","0528.52",2290.00,1765.00,132000.00
"5350528.53","535","Toronto","0528.53",780.00,670.00,164000.00
"5350528.54","535","Toronto","0528.54",885.00,720.00,140000.00
"5350528.55","535","Toronto","0528.55",1750.00,1370.00,128000.00
"5350528.56","535","Toronto","0528.56",1075.00,870.00,120000.00
"5350528.57","535","Toronto","0528.57",1225.00,935.00,120000.00
"5350528.58","535","Toronto","0528.58",1375.00,1040.00,113000.00
"5350528.59","535","Toronto","0528.59",1215.00,825.00,119000.00
"5350528.60","535","Toronto","0528.60",1280.00,950.00,105000.00
"5350528.61","535","Toronto","0528.61",1200.00,915.00,96000.00
"5350528.62","535","Toronto","0528.62",520.00,350.00,87000.00
"5350528.63","535","Toronto","0528.63",2090.00,1635.00,137000.00
"5350529.01","535","Toronto","0529.01",1680.00,1125.00,82000.00
"5350529.02","535","Toronto","0529.02",1585.00,1065.00,81000.00
"5350530.01","535","Toronto","0530.01",1760.00,1090.00,83000.00
"5350530.02","535","Toronto","0530.02",1315.00,870.00,76500.00
"5350531.01","535","Toronto","0531.01",1525.00,975.00,80000.00
"5350531.02","535","Toronto","0531.02",2265.00,1535.00,89000.00
"5350532.01","535","Toronto","0532.01",1810.00,1135.00,92000.00
"5350532.02","535","Toronto","0532.02",1760.00,1125.00,87000.00
"5350540.01","535","Toronto","0540.01",1475.00,1070.00,67000.00
"5350540.02","535","Toronto","0540.02",1470.00,975.00,85000.00
"5350550.01","535","Toronto","0550.01",1570.00,1245.00,115000.00
"5350550.02","535","Toronto","0550.02",2175.00,1635.00,98000.00
"5350560.00","535","Toronto","0560.00",2425.00,1720.00,88000.00
"5350561.00","535","Toronto","0561.00",2665.00,1880.00,91000.00
"5350562.02","535","Toronto","0562.02",2185.00,1765.00,113000.00
"5350562.03","535","Toronto","0562.03",1960.00,1505.00,102000.00
"5350562.04","535","Toronto","0562.04",1690.00,1335.00,108000.00
"5350562.05","535","Toronto","0562.05",2095.00,1475.00,83000.00
"5350562.06","535","Toronto","0562.06",1035.00,815.00,115000.00
"5350562.07","535","Toronto","0562.07",1735.00,1365.00,105000.00
"5350562.08","535","Toronto","0562.08",1635.00,1210.00,102000.00
"5350562.09","535","Toronto","0562.09",1610.00,1260.00,103000.00
"5350562.11","535","Toronto","0562.11",1180.00,945.00,109000.00
"5350562.12","535","Toronto","0562.12",2285.00,1525.00,73500.00
"5350562.13","535","Toronto","0562.13",500.00,355.00,100000.00
"5350562.14","535","Toronto","0562.14",1405.00,1130.00,126000.00
"5350562.15","535","Toronto","0562.15",1310.00,1080.00,112000.00
